,0
257,9
258,2
259,3
260,5
261,12
262,8
263,3
264,6
265,2
266,3
267,2
268,3
269,5
270,5
271,6
272,2
273,2
274,2
275,2
276,7
277,6
278,2
279,4
280,5
281,2
282,5
283,2
284,3
285,5
286,3
287,6
288,6
289,8
290,5
291,5
292,3
293,2
294,5
295,6
296,2
297,2
298,0
299,2
300,6
301,2
302,6
303,5
304,3
305,5
306,1
307,6
308,5
309,2
310,3
311,14
312,3
313,6
314,3
315,5
316,6
317,2
318,12
319,7
320,2
321,5
322,5
323,3
324,3
325,3
326,2
327,6
328,0
329,3
330,2
331,3
332,3
333,6
334,7
335,5
336,6
337,2
338,2
339,3
340,2
341,3
342,3
343,4
344,8
345,10
346,6
347,6
348,1
349,6
350,12
351,3
352,5
353,3
354,2
355,3
356,3
357,1
358,3
359,7
360,6
361,2
362,6
363,6
364,5
365,13
366,6
367,3
368,5
369,2
370,2
371,2
372,3
373,2
374,2
375,5
376,5
377,1
378,6
379,5
380,3
381,6
382,1
383,5
384,5
385,14
386,6
387,14
388,2
389,13
390,4
391,5
392,7
393,7
394,3
395,3
396,2
397,4
398,3
399,3
400,1
401,0
402,2
403,3
404,1
405,6
406,5
407,2
408,5
409,16
410,3
411,2
412,3
413,1
414,5
415,7
416,4
417,2
418,2
419,6
420,1
421,3
422,3
423,3
424,3
425,2
426,6
427,6
428,5
429,3
430,3
431,7
432,7
433,8
434,7
435,3
436,2
437,5
438,6
439,2
440,2
441,14
442,2
443,2
444,16
445,9
446,3
447,5
448,6
449,5
450,4
451,8
452,13
453,14
454,1
455,8
456,6
457,7
458,0
459,5
460,8
461,2
462,6
463,5
464,13
465,2
466,6
467,2
468,2
469,5
470,0
471,6
472,15
473,2
474,2
475,1
476,6
477,14
478,1
479,14
480,2
481,7
482,2
483,4
484,2
485,8
486,7
487,5
488,2
489,6
490,14
491,6
492,4
493,5
494,5
495,6
496,5
497,0
498,7
499,6
500,2
501,5
502,6
503,7
504,12
505,9
506,2
507,14
508,14
509,5
510,2
511,5
512,6
513,1
514,6
515,13
516,16
517,5
518,12
519,5
520,0
521,6
522,11
523,4
524,13
525,2
526,7
527,8
528,5
529,1
530,1
531,1
532,6
533,16
534,14
535,4
536,14
537,2
538,2
539,7
540,0
541,7
542,0
543,2
544,2
545,6
546,2
547,6
548,5
549,6
550,13
551,6
552,4
553,8
554,5
555,5
556,0
557,5
558,6
559,6
560,16
561,6
562,1
563,5
564,5
565,2
566,5
567,2
568,1
569,7
570,2
571,2
572,5
573,5
574,2
575,7
576,5
577,5
578,15
579,5
580,6
581,14
582,6
583,1
584,6
585,6
586,0
587,5
588,5
589,7
590,4
591,10
592,6
593,6
594,7
595,8
596,6
597,6
598,14
599,1
600,8
601,10
602,7
603,10
604,8
605,6
606,15
607,1
608,7
609,9
610,6
611,0
612,7
613,7
614,4
615,13
616,6
617,16
618,0
619,14
620,8
621,7
622,16
623,6
624,7
625,13
626,12
627,6
628,6
629,11
630,7
631,8
632,1
633,7
634,7
635,11
636,11
637,1
638,12
639,8
640,7
641,13
642,6
643,0
644,8
645,14
646,6
647,4
648,0
649,0
650,9
651,0
652,8
653,0
654,14
655,7
656,6
657,13
658,7
659,6
660,6
661,6
662,15
663,1
664,13
665,16
666,7
667,7
668,6
669,6
670,13
671,0
672,7
673,1
674,13
675,4
676,8
677,1
678,14
679,13
680,4
681,14
682,8
683,8
684,13
685,7
686,7
687,9
688,7
689,8
690,8
691,8
692,8
693,7
694,7
695,14
696,1
697,8
698,0
699,8
700,16
701,7
702,14
703,7
704,7
705,0
706,8
707,7
708,15
709,4
710,8
711,14
712,7
713,15
714,7
715,0
716,4
717,8
718,15
719,0
720,7
721,1
722,14
723,14
724,8
725,16
726,14
727,0
728,1
729,15
730,7
731,7
732,0
733,14
734,10
735,0
736,15
737,7
738,12
739,13
740,7
741,7
742,8
743,8
744,14
745,15
746,7
747,15
748,16
749,7
750,0
751,1
752,11
753,0
754,8
755,0
756,8
757,4
758,0
759,0
760,1
761,0
762,9
763,10
764,7
765,8
766,10
767,13
768,0
769,1
770,7
771,7
772,14
773,0
774,4
775,0
776,13
777,8
778,0
779,7
780,7
781,9
782,15
783,8
784,0
785,7
786,1
787,16
788,8
789,14
790,14
791,16
792,4
793,8
794,9
795,0
796,7
797,7
798,11
799,9
800,7
801,13
802,8
803,14
804,12
805,11
806,7
807,4
808,7
809,1
810,4
811,14
812,14
813,8
814,12
815,13
816,7
817,1
818,1
819,7
820,12
821,1
822,10
823,7
824,8
825,1
826,0
827,0
828,10
829,11
830,0
831,7
832,7
833,10
834,7
835,8
836,0
837,12
838,13
839,4
840,4
841,10
842,7
843,0
844,8
845,7
846,0
847,1
848,0
849,7
850,16
851,12
852,7
853,0
854,8
855,0
856,0
857,4
858,9
859,14
860,8
861,1
862,15
863,7
864,7
865,8
866,8
867,0
868,8
869,1
870,16
871,1
872,0
873,14
874,11
875,8
876,0
877,1
878,13
879,14
880,11
881,14
882,8
883,1
884,4
885,13
886,14
887,4
888,1
889,11
890,1
891,0
892,4
893,13
894,1
895,8
896,1
897,14
898,14
899,14
900,4
901,4
902,4
903,0
904,0
905,0
906,9
907,0
908,13
909,14
910,8
911,0
912,14
913,4
914,8
915,1
916,10
917,14
918,16
919,4
920,10
921,14
922,15
923,8
924,0
925,1
926,1
927,16
928,1
929,8
930,1
931,0
932,4
933,8
934,1
935,11
936,13
937,11
938,4
939,12
940,8
941,14
942,0
943,14
944,8
945,13
946,8
947,8
948,4
949,12
950,14
951,14
952,14
953,9
954,4
955,4
956,14
957,8
958,1
959,8
960,1
961,10
962,16
963,0
964,4
965,8
966,0
967,4
968,4
969,12
970,8
971,8
972,0
973,1
974,8
975,14
976,0
977,0
978,14
979,13
980,0
981,15
982,14
983,4
984,8
985,0
986,1
987,1
988,13
989,1
990,14
991,8
992,14
993,8
994,0
995,11
996,0
997,0
998,12
999,1
1000,10
1001,15
1002,1
1003,1
1004,11
1005,4
1006,16
1007,12
1008,16
1009,10
1010,1
1011,8
1012,0
1013,1
1014,14
1015,13
1016,12
1017,1
1018,4
1019,12
1020,1
1021,14
1022,14
1023,0
1024,9
1025,15
1026,0
1027,8
1028,15
1029,8
1030,8
1031,4
1032,4
1033,16
1034,8
1035,15
1036,8
1037,8
1038,8
1039,4
1040,16
1041,4
1042,14
1043,0
1044,13
1045,0
1046,10
1047,1
1048,15
1049,13
1050,8
1051,1
1052,8
1053,0
1054,4
1055,12
1056,0
1057,1
1058,14
1059,14
1060,4
1061,1
1062,4
1063,1
1064,12
1065,11
1066,1
1067,1
1068,11
1069,1
1070,14
1071,8
1072,14
1073,4
1074,13
1075,14
1076,1
1077,0
1078,4
1079,8
1080,14
1081,12
1082,16
1083,1
1084,0
1085,4
1086,16
1087,14
1088,14
1089,12
1090,0
1091,4
1092,8
1093,1
1094,4
1095,12
1096,8
1097,16
1098,13
1099,11
1100,1
1101,10
1102,0
1103,14
1104,13
1105,1
1106,14
1107,13
1108,0
1109,10
1110,4
1111,14
1112,13
1113,1
1114,12
1115,0
1116,15
1117,14
1118,4
1119,1
1120,14
1121,11
1122,15
1123,9
1124,16
1125,14
1126,4
1127,0
1128,4
1129,11
1130,0
1131,1
1132,14
1133,0
1134,9
1135,10
1136,0
1137,11
1138,15
1139,0
1140,13
1141,11
1142,0
1143,12
1144,14
1145,10
1146,15
1147,15
1148,10
1149,1
1150,4
1151,15
1152,1
1153,10
1154,1
1155,14
1156,15
1157,14
1158,12
1159,4
1160,4
1161,13
1162,4
1163,4
1164,12
1165,9
1166,14
1167,4
1168,14
1169,1
1170,14
1171,1
1172,13
1173,4
1174,15
1175,11
1176,11
1177,1
1178,4
1179,1
1180,1
1181,14
1182,11
1183,12
1184,13
1185,16
1186,4
1187,10
1188,14
1189,4
1190,13
1191,11
1192,14
1193,4
1194,15
1195,11
1196,4
1197,16
1198,14
1199,16
1200,16
1201,4
1202,14
1203,14
1204,10
1205,16
1206,4
1207,12
1208,16
1209,12
1210,15
1211,4
1212,4
1213,16
1214,15
1215,12
1216,13
1217,15
1218,15
1219,12
1220,10
1221,12
1222,12
1223,4
1224,15
1225,16
1226,10
1227,13
1228,9
1229,13
1230,16
1231,13
1232,12
1233,4
1234,12
1235,11
1236,13
1237,4
1238,10
1239,4
1240,13
1241,11
1242,4
1243,4
1244,4
1245,4
1246,15
1247,10
1248,16
1249,4
1250,12
1251,10
1252,9
1253,10
1254,16
1255,11
1256,4
1257,4
1258,4
1259,4
1260,4
1261,10
1262,11
1263,11
1264,13
1265,9
1266,10
1267,13
1268,10
1269,4
1270,11
1271,11
1272,11
1273,15
1274,13
1275,15
1276,13
1277,12
1278,16
1279,12
1280,10
1281,15
1282,10
1283,13
1284,15
1285,12
1286,12
1287,12
1288,10
1289,15
1290,16
1291,15
1292,11
1293,15
1294,13
1295,10
1296,10
1297,9
1298,11
1299,9
1300,11
1301,11
1302,16
1303,11
1304,12
1305,9
1306,16
1307,9
1308,16
1309,13
1310,15
1311,11
1312,11
1313,11
1314,13
1315,10
1316,9
1317,10
1318,11
1319,9
1320,10
1321,11
1322,13
1323,9
1324,16
1325,16
1326,9
1327,16
1328,16
1329,13
1330,12
1331,16
1332,12
1333,12
1334,11
1335,10
1336,11
1337,9
1338,13
1339,11
1340,12
1341,13
1342,9
1343,13
1344,9
1345,15
1346,16
1347,12
1348,10
1349,13
1350,12
1351,12
1352,15
1353,16
1354,10
1355,11
1356,11
1357,16
1358,11
1359,11
1360,9
1361,12
1362,9
1363,13
1364,15
1365,15
1366,13
1367,9
1368,16
1369,11
1370,9
1371,12
1372,15
1373,12
1374,13
1375,12
1376,16
1377,16
1378,13
1379,10
1380,9
1381,9
1382,16
1383,13
1384,9
1385,9
1386,13
1387,13
1388,16
1389,12
1390,15
1391,15
1392,13
1393,10
1394,15
1395,15
1396,10
1397,11
1398,11
1399,10
1400,12
1401,13
1402,16
1403,13
1404,12
1405,10
1406,12
1407,12
1408,9
1409,15
1410,12
1411,12
1412,13
1413,15
1414,13
1415,10
1416,13
1417,13
1418,9
1419,9
1420,11
1421,13
1422,9
1423,11
1424,16
1425,15
1426,16
1427,15
1428,10
1429,15
1430,10
1431,16
1432,10
1433,9
1434,15
1435,13
1436,10
1437,15
1438,16
1439,12
1440,10
1441,15
1442,10
1443,15
1444,16
1445,12
1446,11
1447,13
1448,13
1449,10
1450,9
1451,16
1452,9
1453,16
1454,11
1455,12
1456,12
1457,11
1458,12
1459,9
1460,10
1461,15
1462,16
1463,11
1464,13
1465,11
1466,13
1467,15
1468,12
1469,13
1470,13
1471,16
1472,13
1473,13
1474,13
1475,9
1476,15
1477,12
1478,12
1479,15
1480,13
1481,11
1482,16
1483,12
1484,10
1485,13
1486,9
1487,13
1488,13
1489,9
1490,12
1491,16
1492,11
1493,13
1494,13
1495,10
1496,11
1497,16
1498,15
1499,13
1500,16
1501,9
1502,13
1503,12
1504,16
1505,12
1506,15
1507,12
1508,10
1509,15
1510,12
1511,11
1512,11
1513,9
1514,13
1515,11
1516,15
1517,10
1518,11
1519,9
1520,16
1521,9
1522,16
1523,16
1524,10
1525,11
1526,16
1527,15
1528,9
1529,11
1530,12
1531,12
1532,9
1533,9
1534,11
1535,9
1536,15
1537,15
1538,11
1539,16
1540,15
1541,9
1542,16
1543,9
1544,15
1545,11
1546,9
1547,15
1548,10
1549,10
1550,12
1551,12
1552,12
1553,11
1554,11
1555,9
1556,16
1557,11
1558,15
1559,10
1560,9
1561,10
1562,11
1563,11
1564,10
1565,15
1566,12
1567,15
1568,12
1569,10
1570,11
1571,15
1572,15
1573,9
1574,16
1575,11
1576,11
1577,9
1578,16
1579,16
1580,11
1581,16
1582,12
1583,12
1584,11
1585,11
1586,12
1587,11
1588,10
1589,15
1590,16
1591,16
1592,12
1593,9
1594,12
1595,16
1596,11
1597,12
1598,12
1599,12
1600,15
1601,12
1602,9
1603,9
1604,10
1605,15
1606,15
1607,10
1608,16
1609,9
1610,9
1611,12
1612,15
1613,15
1614,12
1615,15
1616,11
1617,15
1618,12
1619,15
1620,15
1621,12
1622,10
1623,9
1624,11
1625,16
1626,9
1627,12
1628,11
1629,11
1630,15
1631,10
1632,9
1633,16
1634,9
1635,9
1636,9
1637,15
1638,10
1639,10
1640,9
1641,10
1642,10
1643,15
1644,16
1645,16
1646,11
1647,11
1648,11
1649,10
1650,15
1651,16
1652,10
1653,16
1654,10
1655,9
1656,9
1657,15
1658,10
1659,10
1660,10
1661,15
1662,9
1663,10
1664,10
1665,9
1666,10
1667,16
1668,10
1669,15
1670,9
1671,9
1672,10
1673,16
1674,16
1675,9
1676,9
1677,16
1678,16
1679,9
1680,10
1681,9
1682,9
1683,9
1684,9
1685,9
1686,9
1687,10
1688,9
1689,10
1690,9
1691,10
1692,10
1693,9
1694,10
1695,10
1696,9
1697,9
1698,9
1699,10
